iter	Accuracy	Logloss
0	0.696045	0.6375494392
1	0.70084	0.6079235372
2	0.7021725	0.5872389496
3	0.7046425	0.5766882389
4	0.7062175	0.5687529349
5	0.70762	0.5643644921
6	0.70828	0.560461149
7	0.708835	0.5581581084
8	0.709115	0.5559346577
9	0.7102725	0.5544207685
10	0.7105875	0.5533609091
11	0.7113475	0.5522369931
12	0.71159	0.5513630249
13	0.71209	0.5506402674
14	0.712555	0.5498462442
15	0.7131225	0.5491080295
16	0.7135725	0.5483434557
17	0.7142175	0.547636833
18	0.714345	0.5470462503
19	0.71462	0.5466636078
20	0.715015	0.5463520033
21	0.7155225	0.5457814174
22	0.71593	0.5453666137
23	0.716125	0.5450866872
24	0.7162275	0.544666758
25	0.7164825	0.5442473633
26	0.7169575	0.5438006452
27	0.71706	0.5434067959
28	0.717135	0.5431508409
29	0.717335	0.5429208555
30	0.717805	0.5424390876
31	0.7179875	0.5419677903
32	0.7181975	0.5416038802
33	0.718325	0.541364529
34	0.7184775	0.5411528284
35	0.71871	0.5409171832
36	0.7189825	0.5406163613
37	0.7191325	0.5405040811
38	0.7193075	0.5402468155
39	0.7192175	0.5400589998
40	0.7191875	0.5400005348
41	0.719645	0.5397937309
42	0.7199875	0.5396258265
43	0.7201375	0.5395290533
44	0.72039	0.5393380411
45	0.720395	0.5392160328
46	0.7205975	0.5390865278
47	0.72058	0.5388786052
48	0.720605	0.5387713161
49	0.72064	0.5385020915
50	0.720945	0.5382834106
51	0.72094	0.5381102438
52	0.72107	0.5379541013
53	0.721115	0.5378712741
54	0.7211775	0.5377759686
55	0.7217575	0.5372381045
56	0.7219775	0.5370483451
57	0.7219875	0.5369500415
58	0.72219	0.5367075239
59	0.72233	0.5365078315
60	0.7225125	0.5363075347
61	0.722675	0.5361404192
62	0.7227825	0.5360356377
63	0.723125	0.5357764093
64	0.723215	0.5356075672
65	0.723405	0.5354528692
66	0.7236375	0.5352439294
67	0.7238125	0.5350797974
68	0.723845	0.5350213826
69	0.7242075	0.5348496737
70	0.72423	0.5346206638
71	0.724365	0.5343513321
72	0.7244675	0.5341843819
73	0.724545	0.5341147855
74	0.7245625	0.5339920101
75	0.724815	0.5337614947
76	0.72493	0.5336268774
77	0.7250875	0.5335126392
78	0.72518	0.5333771813
79	0.72527	0.5333083887
80	0.725275	0.5332010498
81	0.72544	0.5331370106
82	0.725495	0.533066806
83	0.7255325	0.5329535957
84	0.72551	0.5328306404
85	0.7256175	0.5326779026
86	0.72562	0.532626049
87	0.7257725	0.5325280086
88	0.72583	0.5324123487
89	0.7259125	0.5323501904
90	0.7259025	0.5322154412
91	0.72586	0.5321885487
92	0.7259225	0.5321360496
93	0.7260125	0.5320202385
94	0.726115	0.5319326686
95	0.7262625	0.5318252415
96	0.7263675	0.5317270106
97	0.7263825	0.5315916227
98	0.726425	0.5315590261
99	0.7263675	0.5315071435
100	0.7263925	0.5313885727
101	0.7263875	0.5312640678
102	0.726465	0.5311716195
103	0.7265425	0.5310838426
104	0.7267425	0.5309977461
105	0.7268075	0.5309617993
106	0.7268625	0.5308873113
107	0.7268575	0.5308116228
108	0.72697	0.5307336533
109	0.727045	0.53062072
