iter	Passed	Remaining
0	672	671949
1	1197	597691
2	1764	586495
3	2453	610854
4	2957	588532
5	3660	606425
6	4440	629973
7	5308	658277
8	6205	683240
9	6929	686029
10	7556	679425
11	8329	685785
12	8936	678479
13	9612	677000
14	10262	673888
15	10776	662733
16	11234	649593
17	11726	639770
18	12330	636642
19	12826	628497
20	13347	622229
21	13918	618729
22	14544	617816
23	15193	617860
24	16040	625597
25	16726	626581
26	17360	625631
27	18045	626425
28	18650	624485
29	19365	626165
30	20034	626235
31	20488	619789
32	21063	617220
33	21581	613180
34	22089	609030
35	22623	605799
36	23197	603773
37	23712	600290
38	24201	596339
39	24805	595343
40	25318	592207
41	25992	592882
42	26709	594440
43	27373	594761
44	27958	593332
45	28588	592896
46	29232	592737
47	29685	588765
48	30171	585576
49	30637	582108
50	31155	579740
51	31782	579427
52	32268	576572
53	32783	574326
54	33284	571884
55	33771	569295
56	34318	567754
57	34793	565094
58	35329	563479
59	35977	563653
60	36510	562019
61	37067	560794
62	37544	558394
63	38073	556819
64	38634	555741
65	39143	553945
66	39716	553064
67	40222	551278
68	40693	549061
69	41218	547612
70	41731	546041
71	42343	545758
72	42736	542690
73	43415	543283
74	43820	540449
75	44326	538911
76	44882	538005
77	45419	536886
78	45916	535305
79	46489	534624
80	47115	534555
81	47615	533057
82	48339	534061
83	48774	531873
84	49300	530701
85	49957	530942
86	50419	529113
87	51101	529598
88	51633	528520
89	52251	528317
90	52909	528518
91	53550	528523
92	54230	528891
93	54897	529114
94	55531	529006
95	56146	528710
96	56676	527620
97	57264	527068
98	57736	525462
99	58222	524001
100	58769	523108
101	59358	522585
102	59920	521830
103	60358	520011
104	60855	518717
105	61405	517892
106	61922	516796
107	62429	515618
108	62916	514302
109	63401	512978
110	63965	512300
111	64421	510773
112	64908	509504
113	65525	509258
114	66065	508416
115	66770	508834
116	67301	507922
117	67804	506813
118	68367	506150
119	68924	505448
120	69419	504293
121	70054	504165
122	70757	504508
123	71434	504647
124	71909	503366
125	72479	502754
126	72989	501728
127	73482	500602
128	74130	500526
129	74602	499265
130	75152	498529
131	75715	497889
132	76207	496781
133	76724	495846
134	77322	495436
135	78065	495948
136	78697	495734
137	79406	496002
138	80026	495703
139	80663	495505
140	81503	496535
141	81951	495168
142	82483	494325
143	83046	493664
144	83566	492755
145	84141	492170
146	84708	491541
147	85227	490633
148	85721	489592
149	86280	488921
150	86900	488597
151	87509	488210
152	88023	487292
153	88560	486507
154	89081	485638
155	89708	485346
156	90301	484866
157	90855	484179
158	91419	483547
159	91966	482826
160	92416	481601
161	92895	480534
162	93449	479860
163	93940	478865
164	94459	478019
165	94992	477253
166	95430	476011
167	95973	475297
168	96565	474825
169	97055	473857
170	97561	472974
171	98012	471826
172	98495	470843
173	99014	470036
174	99554	469326
175	100114	468718
176	100622	467865
177	101158	467146
178	101641	466189
179	102152	465360
180	102676	464598
181	103264	464122
182	103736	463129
183	104236	462265
184	104765	461536
185	105265	460676
186	105759	459798
187	106129	458388
188	106613	457477
189	107151	456805
190	107649	455961
191	108178	455249
192	108836	455083
193	109421	454608
194	109928	453807
195	110477	453183
196	110987	452402
197	111462	451481
198	111988	450767
199	112482	449928
200	113002	449199
201	113599	448774
202	114213	448414
203	114728	447665
204	115250	446946
205	115763	446195
206	116291	445503
207	116793	444711
208	117285	443888
209	117755	442985
210	118271	442256
211	118789	441538
212	119365	441035
213	119895	440364
214	120404	439615
215	120964	439055
216	121457	438253
217	122074	437901
218	122542	437013
219	123088	436404
220	123591	435646
221	124211	435300
222	124705	434511
223	125200	433729
224	125726	433056
225	126222	432283
226	126780	431725
227	127294	431014
228	127803	430291
229	128318	429587
230	128817	428833
231	129387	428316
232	129887	427569
233	130371	426770
234	130912	426163
235	131468	425600
236	131976	424886
237	132513	424267
238	132992	423461
239	133462	422632
240	133949	421857
241	134629	421690
242	135163	421064
243	135809	420786
244	136326	420106
245	136826	419379
246	137397	418867
247	137928	418234
248	138367	417325
249	138909	416728
250	139454	416140
251	139955	415423
252	140467	414740
253	140981	414064
254	141481	413347
255	141960	412573
256	142593	412245
257	143073	411475
258	143610	410871
259	144152	410279
260	144698	409701
261	145228	409077
262	145713	408329
263	146221	407648
264	146769	407078
265	147308	406484
266	148004	406319
267	148521	405663
268	149047	405032
269	149571	404397
270	150044	403625
271	150772	403537
272	151279	402856
273	151830	402294
274	152377	401721
275	152952	401224
276	153433	400476
277	153999	399954
278	154531	399343
279	155020	398624
280	155787	398615
281	156412	398242
282	157011	397798
283	157522	397133
284	158078	396583
285	158637	396037
286	159115	395292
287	159748	394934
288	160238	394218
289	160740	393535
290	161203	392760
291	161678	392016
292	162156	391278
293	162658	390602
294	163165	389937
295	163723	389397
296	164269	388825
297	164802	388225
298	165268	387468
299	165780	386821
300	166277	386140
301	166844	385620
302	167344	384947
303	167926	384464
304	168618	384229
305	169187	383712
306	169714	383102
307	170220	382442
308	170850	382063
309	171575	381893
310	172071	381212
311	172612	380631
312	173335	380451
313	173838	379786
314	174351	379145
315	174854	378481
316	175542	378219
317	176067	377604
318	176598	377002
319	177142	376427
320	177659	375796
321	178164	375142
322	178717	374587
323	179219	373927
324	179751	373330
325	180318	372806
326	180856	372220
327	181359	371566
328	181865	370917
329	182384	370295
330	182943	369755
331	183508	369227
332	184040	368633
333	184558	368011
334	185085	367407
335	185587	366756
336	186127	366179
337	186733	365732
338	187136	364887
339	187666	364293
340	188207	363720
341	188722	363098
342	189337	362667
343	189898	362131
344	190431	361543
345	191041	361100
346	191580	360525
347	192073	359862
348	192598	359259
349	193190	358781
350	193698	358148
351	194180	357468
352	194635	356740
353	195120	356068
354	195802	355753
355	196335	355167
356	196760	354389
357	197216	353667
358	197787	353153
359	198331	352588
360	198862	352003
361	199402	351432
362	199882	350757
363	200337	350040
364	200862	349445
365	201370	348822
366	201845	348142
367	202380	347566
368	202948	347047
369	203640	346738
370	204318	346404
371	204833	345793
372	205373	345225
373	206005	344811
374	206525	344208
375	207118	343728
376	207667	343175
377	208190	342578
378	208787	342102
379	209490	341800
380	210096	341338
381	210594	340699
382	211203	340241
383	211694	339593
384	212189	338951
385	212663	338278
386	213174	337663
387	213726	337114
388	214262	336540
389	214800	335969
390	215303	335344
391	215984	334996
392	216638	334605
393	217184	334044
394	217845	333662
395	218414	333137
396	218920	332515
397	219470	331963
398	219934	331280
399	220441	330661
400	220923	330007
401	221399	329345
402	221971	328825
403	222562	328334
404	223189	327895
405	223764	327379
406	224498	327095
407	225207	326771
408	225737	326187
409	226221	325537
410	226740	324939
411	227304	324404
412	227854	323851
413	228352	323224
414	228854	322601
415	229358	321983
416	229901	321421
417	230418	320822
418	230903	320179
419	231402	319555
420	231877	318900
421	232365	318263
422	232854	317628
423	233338	316987
424	233828	316355
425	234329	315739
426	234848	315147
427	235405	314607
428	236009	314129
429	236589	313618
430	237106	313024
431	237644	312459
432	238247	311977
433	238948	311623
434	239533	311117
435	240128	310625
436	240688	310086
437	241177	309456
438	241655	308812
439	242158	308201
440	242716	307661
441	243274	307119
442	243860	306614
443	244464	306130
444	245093	305678
445	245743	305250
446	246310	304719
447	246960	304291
448	247478	303698
449	248130	303271
450	248702	302744
451	249272	302215
452	249871	301721
453	250516	301281
454	251166	300847
455	251825	300423
456	252474	299985
457	253107	299528
458	253620	298929
459	254264	298484
460	254943	298079
461	255587	297632
462	256260	297218
463	256859	296716
464	257555	296327
465	258141	295809
466	258829	295409
467	259404	294878
468	260043	294420
469	260657	293933
470	261318	293497
471	261923	292999
472	262552	292526
473	263153	292022
474	263992	291781
475	264610	291294
476	265181	290754
477	265810	290278
478	266538	289909
479	267172	289436
480	267963	289133
481	268598	288659
482	269241	288194
483	269914	287760
484	270520	287254
485	271213	286838
486	271841	286354
487	272477	285878
488	273087	285374
489	273708	284880
490	274404	284464
491	275033	283977
492	275654	283482
493	276338	283050
494	276918	282512
495	277541	282018
496	278158	281516
497	278818	281058
498	279425	280545
499	280004	280004
500	280568	279448
501	281188	278948
502	281874	278511
503	282507	278023
504	283190	277583
505	283813	277082
506	284404	276551
507	285039	276061
508	285665	275563
509	286267	275041
510	286869	274518
511	287464	273989
512	288086	273485
513	288655	272931
514	289243	272393
515	289827	271853
516	290448	271347
517	291037	270810
518	291639	270286
519	292256	269775
520	292977	269358
521	293576	268830
522	294252	268371
523	294849	267840
524	295470	267330
525	296123	266849
526	296798	266386
527	297370	265831
528	297989	265317
529	298649	264840
530	299296	264350
531	299944	263860
532	300576	263356
533	301166	262815
534	301777	262293
535	302380	261761
536	303047	261286
537	303797	260882
538	304642	260556
539	305181	259969
540	305748	259405
541	306343	258865
542	306989	258368
543	307670	257900
544	308360	257438
545	309050	256975
546	309649	256437
547	310349	255981
548	310970	255460
549	311525	254884
550	312052	254285
551	312722	253803
552	313504	253411
553	314194	252943
554	314920	252503
555	315643	252060
556	316305	251567
557	316892	251014
558	317483	250465
559	318069	249911
560	318690	249384
561	319362	248898
562	320077	248443
563	320783	247981
564	321466	247500
565	322265	247108
566	322747	246472
567	323278	245873
568	323883	245331
569	324434	244748
570	325044	244210
571	325652	243669
572	326398	243232
573	327112	242769
574	327846	242321
575	328674	241941
576	329536	241584
577	330212	241089
578	331093	240743
579	331802	240270
580	332514	239799
581	333244	239340
582	333999	238898
583	334675	238399
584	335398	237932
585	336062	237422
586	336796	236962
587	337484	236468
588	338142	235953
589	338934	235531
590	339626	235037
591	340348	234564
592	341010	234049
593	341639	233511
594	342346	233025
595	342969	232482
596	343760	232052
597	344479	231573
598	345059	230999
599	345742	230495
600	346353	229942
601	347049	229444
602	347642	228879
603	348223	228305
604	348863	227770
605	349674	227346
606	350318	226812
607	350946	226268
608	351846	225898
609	352465	225347
610	353126	224821
611	353600	224178
612	354095	223548
613	354623	222939
614	355062	222274
615	355560	221648
616	356075	221032
617	356620	220435
618	357126	219814
619	357655	219208
620	358175	218596
621	358725	218003
622	359389	217479
623	359843	216828
624	360316	216190
625	360827	215573
626	361283	214926
627	361768	214295
628	362336	213715
629	362868	213113
630	363474	212554
631	364086	211999
632	364609	211392
633	365165	210805
634	365715	210214
635	366200	209586
636	366659	208944
637	367168	208330
638	367805	207790
639	368344	207193
640	368954	206637
641	369578	206088
642	370261	205572
643	370942	205055
644	371529	204485
645	372247	203986
646	372888	203445
647	373545	202913
648	374123	202337
649	374741	201783
650	375285	201190
651	375834	200598
652	376407	200020
653	377056	199482
654	377640	198910
655	378215	198332
656	378815	197768
657	379477	197236
658	380059	196662
659	380653	196094
660	381263	195534
661	381913	194995
662	382618	194483
663	383247	193932
664	383932	193409
665	384706	192930
666	385456	192439
667	386195	191941
668	386992	191471
669	387791	191001
670	388408	190441
671	389171	189952
672	389951	189471
673	390768	189006
674	391581	188539
675	392343	188046
676	393032	187517
677	393531	186898
678	394109	186317
679	394623	185705
680	395193	185119
681	395932	184613
682	396553	184051
683	397226	183513
684	397777	182919
685	398404	182360
686	398983	181778
687	399649	181236
688	400251	180665
689	400886	180108
690	401461	179524
691	402150	178991
692	402801	178441
693	403544	177931
694	404097	177337
695	404817	176816
696	405504	176281
697	406156	175729
698	406907	175220
699	407692	174725
700	408359	174179
701	409010	173625
702	409643	173064
703	410474	172585
704	411281	172096
705	412070	171598
706	412848	171095
707	413538	170555
708	414251	170024
709	415143	169565
710	415830	169022
711	416477	168462
712	417260	167957
713	417878	167385
714	418412	166779
715	419051	166215
716	419717	165662
717	420406	165117
718	421021	164543
719	421718	164001
720	422290	163410
721	423023	162881
722	423647	162310
723	424259	161734
724	424937	161183
725	425630	160637
726	426436	160133
727	427153	159595
728	427909	159071
729	428693	158557
730	429525	158060
731	430275	157532
732	430951	156976
733	431598	156410
734	432290	155859
735	432934	155291
736	433599	154731
737	434304	154184
738	434958	153618
739	435689	153080
740	436322	152506
741	437068	151972
742	437707	151400
743	438381	150841
744	438992	150259
745	439719	149716
746	440368	149147
747	440997	148571
748	441687	148015
749	442386	147462
750	443052	146897
751	443672	146317
752	444320	145746
753	445026	145194
754	445700	144631
755	446457	144094
756	447090	143517
757	447595	142899
758	448330	142355
759	448882	141752
760	449393	141136
761	449990	140548
762	450475	139924
763	451061	139333
764	451662	138745
765	452335	138180
766	452921	137588
767	453540	137007
768	454312	136470
769	454990	135906
770	455687	135346
771	456478	134814
772	457146	134246
773	457929	133710
774	458664	133160
775	459307	132583
776	460013	132024
777	460627	131438
778	461173	130833
779	461838	130262
780	462421	129667
781	463076	129093
782	463801	128537
783	464603	128002
784	465242	127423
785	465887	126844
786	466531	126265
787	467141	125677
788	467808	125104
789	468413	124514
790	469033	123929
791	469677	123349
792	470457	122805
793	471122	122230
794	471695	121632
795	472339	121051
796	473108	120503
797	473740	119919
798	474437	119351
799	475017	118754
800	475671	118175
801	476307	117592
802	476941	117008
803	477694	116452
804	478388	115882
805	479145	115327
806	479770	114740
807	480367	114146
808	480986	113558
809	481600	112968
810	482190	112372
811	482870	111797
812	483549	111222
813	484191	110638
814	484848	110057
815	485450	109464
816	486038	108867
817	486678	108282
818	487285	107690
819	487954	107111
820	488555	106518
821	489256	105946
822	489916	105364
823	490515	104770
824	491125	104178
825	491774	103594
826	492413	103007
827	493034	102417
828	493653	101827
829	494358	101254
830	494955	100658
831	495650	100083
832	496268	99491
833	496898	98903
834	497474	98303
835	498085	97710
836	498721	97122
837	499347	96532
838	499976	95943
839	500641	95360
840	501288	94773
841	501945	94189
842	502512	93587
843	503138	92997
844	503795	92412
845	504416	91820
846	505035	91228
847	505663	90637
848	506324	90053
849	506903	89453
850	507525	88861
851	508199	88278
852	508862	87693
853	509555	87113
854	510219	86528
855	510852	85937
856	511469	85344
857	512093	84752
858	512724	84160
859	513311	83562
860	513946	82971
861	514543	82374
862	515167	81782
863	515885	81204
864	516495	80609
865	517148	80020
866	517764	79426
867	518350	78827
868	519019	78241
869	519628	77645
870	520239	77050
871	520890	76460
872	521564	75874
873	522500	75326
874	523300	74757
875	524159	74196
876	524854	73611
877	525487	73017
878	526073	72417
879	526756	71830
880	527466	71246
881	528160	70660
882	528909	70082
883	529588	69493
884	530261	68904
885	531012	68324
886	531902	67762
887	532893	67211
888	533728	66640
889	534574	66070
890	535246	65479
891	535891	64883
892	536738	64312
893	537460	63725
894	538192	63139
895	538899	62550
896	539498	61949
897	540072	61344
898	540698	60745
899	541299	60144
900	541991	59552
901	542659	58958
902	543250	58355
903	543879	57757
904	544458	57153
905	545110	56556
906	545780	55962
907	546379	55360
908	547008	54760
909	547720	54170
910	548355	53571
911	549193	52992
912	549860	52396
913	550570	51804
914	551227	51206
915	551910	50611
916	552583	50015
917	553348	49427
918	554032	48832
919	554712	48235
920	555349	47635
921	556060	47041
922	556761	46447
923	557475	45853
924	558099	45251
925	558769	44653
926	559381	44050
927	559982	43446
928	560632	42847
929	561238	42243
930	561833	41639
931	562477	41039
932	563099	40436
933	563721	39834
934	564415	39237
935	565215	38647
936	565815	38043
937	566400	37437
938	567039	36836
939	567693	36235
940	568287	35631
941	568921	35029
942	569545	34426
943	570249	33828
944	570896	33226
945	571455	32620
946	572126	32019
947	572728	31415
948	573343	30811
949	573967	30208
950	574607	29606
951	575212	29002
952	575839	28399
953	576401	27792
954	577067	27191
955	577741	26590
956	578365	25987
957	578988	25383
958	579701	24783
959	580332	24180
960	580942	23576
961	581591	22973
962	582265	22371
963	583048	21773
964	583747	21172
965	584444	20570
966	585068	19966
967	585695	19361
968	586279	18756
969	586937	18152
970	587553	17547
971	588188	16943
972	588796	16338
973	589483	15735
974	589991	15127
975	590476	14519
976	591024	13913
977	591526	13306
978	592061	12699
979	592610	12094
980	593115	11487
981	593621	10881
982	594084	10274
983	594551	9667
984	595147	9063
985	595692	8458
986	596207	7852
987	596683	7247
988	597183	6642
989	597716	6037
990	598178	5432
991	598723	4828
992	599222	4224
993	599742	3620
994	600283	3016
995	600781	2412
996	601303	1809
997	601851	1206
998	602356	602
999	602862	0
